,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
4133,-0.8797617826462238,-0.031245760414439896,-0.07536420413131127,0.015053897291173396,-0.007716305584362696,-0.03827678829321112,0.0004259902385171054,0.05612573115285694,-0.003124168144428827,0.022154419217218183,-0.007135660440681521,-0.010036923086556772,0.0016496560273901698
1389,-1.271114536126421,0.24429032071828652,0.10184562077296394,-0.01440983621266496,0.006275219634570941,-0.033675168747233475,-0.046757386894603584,-0.05290277504552931,0.03596386794046227,-0.021233620557425077,-0.001852617436411412,0.013150033462023529,-0.003626292876583195
5666,-0.40727445924745626,0.06581817415229337,-0.13771557255953548,-0.243119138199079,-0.15078861269766777,-0.18716915133200607,-0.028728961241555644,-0.06555771892412698,-0.03267460449359077,-0.05193925762552975,0.005180904255321076,-0.023595195391931875,0.0044136734122068874
6749,-0.306031396019276,0.7011794756104722,0.3056058563834582,-0.16834930868518205,-0.018590699797907867,-0.41971994667308765,0.3593037713055093,-0.0117878404566559,-0.020677024638833204,0.07449794981629594,0.05451744687458826,0.02538365582050776,0.02653394832962936
1225,-1.1291279342256253,0.11882830163661627,0.006373869300576969,-0.059766384803226415,0.0005725032574654945,-0.06431657717449915,-0.009689093873978216,0.031100912913760832,0.0054842359074839435,-0.019112478299748034,0.02848830937909917,0.033077878249289115,-0.013079472653329588
5530,-0.7766295140872986,-0.12240079878434497,-0.08572688523627192,0.13505456497864607,0.036915899223812144,-0.017695229922655827,0.05401030615854742,0.07682668330178292,0.05167360149190157,-0.0346243916073056,-0.045647560882404,0.04268996550509166,0.035151862831770055
2794,-1.0051825279474091,-0.02197286961134613,0.21264394058639757,0.1561812236766911,0.23476128905414553,-0.012480821180101907,0.06277408043491771,0.051488520086109726,0.07165668578829028,0.03174548970758468,-0.07411563147431822,0.017262920032822537,-0.021989625610341724
5651,0.9457656656818639,-0.9096058824848495,-0.6140677366218857,0.0418587248529544,-0.23494274303730028,0.4714905357310664,-0.3704533524354636,0.48275084604381197,-0.06293749838341305,0.15659830686419515,0.07798551425346674,-0.02763877748077743,0.006452072988942605
914,-1.491807230964602,0.1223989489726121,0.10904871115330697,0.07407217929634903,0.13421287929499223,-0.0436584038426024,0.050440568236971815,0.14296396360543218,0.15239077641768478,-0.08959828745037324,0.0453434019404306,0.023010635225449057,0.009633067163133094
6385,-1.8132418068332719,0.4741862350739874,0.24680602612592956,0.031242266827794372,0.06081787555399922,-0.06527554148982662,0.007058674722574651,-0.15840986700657086,0.027171902427969404,-0.02677198725822719,-0.008338267905810316,0.03726794950402795,-0.008083474536344505
4881,-1.299675110784909,0.1051262046914956,-0.04236276609218402,0.07964722736980796,0.017161991761112758,-0.046385694896470896,0.03345591407543787,0.1065842229840203,0.08054796700927566,0.06039127334448445,-0.01957116634027607,0.0207237028430689,-0.01406605321018947
1922,-1.2544033796859935,0.12181924920377693,0.04919537555976783,-0.08180111368675458,0.05019922423079944,-0.11075871626395878,0.01636362673093785,0.00969157756338721,-0.07179274748021176,0.0038610908410449934,0.019971536180540272,-0.015852873135576664,-0.07898954530989515
6253,-1.803351410163902,0.3717895906158713,0.2813854304703085,0.053618867317288765,0.16640731573015113,-0.17051907143539496,0.03870668512688585,-0.04223156115691923,0.048357047280363545,-0.006628412361319218,-0.0100264899778105,0.023924829405257943,-0.003190774813375111
2452,-0.07936227607590149,-0.5058509923545661,0.08933006124398596,0.2711051852441888,0.38631633798545884,0.2125780533749569,0.5409651801252372,-0.06940855868044182,-0.00984154829500807,0.044871588664156435,0.011178535471291155,-0.05149925899317919,-0.0391094614680661
910,-0.419255357833326,-0.1658886696823719,-0.06591617249252163,-0.09778035452663875,-0.018307806985076617,0.028929166103231686,-0.1452053212211596,0.21308524095735748,0.1445341460522864,-0.19721068202884945,0.1535138471097748,0.01920752354409404,-0.05233576472703253
2276,-1.1127370166260304,0.0716181489637525,0.06980695902526346,-0.18143865667885753,0.0980993219656606,-0.13849896682452745,0.18324456608971787,-0.15855717793867438,-0.20208946667353403,-0.07818159438808556,-0.0006959489168294465,0.16531900605924132,0.010953499009317752
386,-1.1156860728349831,0.12097129316338114,0.18090180839742656,0.1396752009842737,0.11774710611579531,-0.05529267090111431,-0.051512677057150305,0.007313283481280715,0.057669059168794716,0.01215518211883133,-0.007485012406317211,0.001689788340084162,0.002108464361750847
736,0.08544861926709944,-0.29484116831677515,-0.39655792454155137,-0.08200675856305119,-0.07679571460881922,0.35467834204405446,-0.04509502314972388,0.4494975773004712,0.3392877621105342,-0.21756541085144016,0.29727368054726555,0.026128484966261318,-0.01600458019565388
1678,-0.8419517170740366,-0.0255554761451092,-0.08450834867497793,-0.11433250245366995,-0.032870247523967284,-0.00739612148446004,-0.025874009718893032,0.06117942323890785,-0.01218789949717498,-0.02147981918303072,-7.007223174940854e-05,0.028586734805781108,-0.0056095971843482684
6072,-1.848082265520882,0.399381810431005,0.26048130697422134,-0.05976912010217604,0.18517729598164284,-0.30123189680671403,0.22671994413499705,-0.12115456686447021,0.0306692807477175,-0.040880761910654206,-0.026962550109956185,0.002896756319651804,-0.0006595198796617694
