,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE
5027,26.1,39.5,85.5,0.19,7.45,18.0,47.5,0.34,1.15,139.0,22.6,327.0,200.0,27.78,413.1,0.0672476396338716,0.06491222848759147,0.0016999999915000002,0.4250764512994604,0.037249999813750004,914.33,70.33307692307693,93.90750542500811,327.0,0.19,326.81
5005,10.72,62.81,125.69,0.47,14.81,26.14,59.3,0.49,2.46,140.21,27.79,488.32,280.24,14.140000000000002,581.9699999999999,0.02429678501589982,0.07786687921042251,0.0017485012783738892,0.2871272929899916,0.05284755904636183,1239.45,95.3423076923077,136.8698466063989,488.32,0.47,487.84999999999997
5564,61.5,175.0,281.0,2.35,54.5,63.9,112.0,28.0,19.6,298.0,61.3,1171.0,602.0,111.44999999999999,1295.2,0.08604848665376119,0.07190210008517144,0.0465116278297149,0.25448334734886136,0.09053156131140937,2930.1499999999996,225.39615384615382,316.21579076852083,1171.0,2.35,1168.65
1531,83.1,111.6,182.1,1.85,33.0,38.9,64.3,5.74,8.58,475.0,38.5,164.0,414.0,99.26999999999998,849.4,0.11687073214401843,0.10994389374695207,0.013864734266027212,2.8963414457540155,0.07971014473499966,1620.67,124.66692307692308,147.47165940950853,475.0,1.85,473.15
6059,2.09,69.67,109.06,0.61,21.66,23.82,47.92,1.06,3.65,57.61,23.02,479.97,249.38,7.41,522.87,0.014171782633978268,0.06860474807509567,0.004250541325485038,0.12002833485420268,0.08685540104717539,1089.52,83.80923076923077,131.6167624034345,479.97,0.61,479.36
5807,254.6,924.0,1603.0,0.03,202.2,346.0,673.0,150.0,71.92,3929.0,365.0,19614.0,3456.0,476.55,7367.0,0.06468711822116369,0.0002487744872090336,0.04340277776521911,0.20031610073415335,0.05850694442751535,31588.75,2429.903846153846,5111.03618402305,19614.0,0.03,19613.97
4381,5.94,75.3,151.3,0.2,14.7,29.5,54.0,0.6,1.86,43.11,31.1,144.64,285.0,8.6,626.2,0.013733631405727193,0.03824853877210095,0.0021052631505078484,0.2980503297977715,0.05157894718744229,837.25,64.40384615384616,80.21727931432052,285.0,0.2,284.8
4289,28.6,97.8,121.5,3.7,36.9,31.2,35.17,10.82,12.26,16.77,24.61,17.3,228.1,55.38,538.38,0.10286414780849187,0.17395755918790773,0.04743533517126114,0.9693641058171036,0.1617711522938573,664.73,51.13307692307693,60.906102812142834,228.1,3.7,224.4
2702,21.2,161.0,276.0,0.87,29.3,63.1,119.0,2.18,6.39,324.0,57.7,371.0,567.0,30.64,1243.8,0.024634185540573898,0.0635821211461483,0.0038447971713495644,0.8733153615274518,0.05167548491767992,1998.74,153.74923076923076,171.3575734880603,567.0,0.87,566.13
3900,37.1,20.0,29.0,0.55,6.35,6.4,12.2,0.88,1.66,142.0,6.2,181.0,59.0,40.19,132.8,0.3026355398897926,0.16940325944628992,0.01491525398448722,0.7845303824059096,0.10762711681987937,502.34,38.64153846153846,55.389956441183564,181.0,0.55,180.45
6761,6.5,63.0,83.0,0.19,18.0,21.0,28.0,1.14,3.41,255.0,17.0,707.0,145.0,11.24,357.0,0.03148459374934288,0.02425158653625081,0.007862068911296077,0.3606789245252066,0.1241379301783591,1348.24,103.71076923076923,187.86722117420052,707.0,0.19,706.81
590,27.01,59.6,112.56,0.59,14.9,24.09,52.62,0.95,2.7,273.37,25.17,409.56,242.81,31.25,516.85,0.06046241644488262,0.0930201402458416,0.003912524179759794,0.6674724077852515,0.06136485292465363,1245.9299999999998,95.84076923076921,125.0172550220746,409.56,0.59,408.97
3345,7.5,50.8,99.0,0.49,9.2,19.6,55.8,0.82,2.01,141.0,23.3,292.0,257.0,10.82,505.5,0.021404549908200694,0.11394732281166928,0.0031906614661841963,0.48287671067507976,0.03579766523035928,958.52,73.73230769230769,94.90411397047394,292.0,0.49,291.51
1793,12.5,60.4,117.9,0.2,14.1,23.6,43.4,0.92,2.46,176.0,23.8,237.0,251.0,16.08,520.0999999999999,0.03091713126145524,0.03395884256191584,0.003665338630815384,0.7426160306218733,0.056175298580974906,963.28,74.09846153846154,87.5679788547735,251.0,0.2,250.8
6454,13.98,72.91,133.21,0.15,19.96,28.83,50.85,0.7,2.27,72.59,28.06,164.02,259.14,17.099999999999998,572.9999999999999,0.029842931885090872,0.02228425180425134,0.0027012425611590545,0.44256797681643717,0.07702400217247819,846.6700000000001,65.12846153846155,74.44545146472673,259.14,0.15,258.99
1300,58.4,93.1,205.4,0.91,17.3,38.2,96.1,1.11,2.55,737.0,45.0,405.0,548.0,62.96999999999999,1025.8000000000002,0.06138623507371197,0.13700873156384324,0.00202554744155922,1.8197530819265355,0.03156934300808514,2248.0699999999997,172.9284615384615,229.72179598697048,737.0,0.91,736.09
365,17.14,120.13,233.29,2.35,26.64,47.92,195.53,1.93,5.23,50.89,65.73,122.68,862.03,26.650000000000002,1524.6299999999999,0.017479650789057246,0.19909021061410057,0.002238901195736922,0.41481903802723313,0.03090379681576767,1751.49,134.73,221.79371885397683,862.03,1.93,860.1
3803,6.29,41.3,75.5,0.52,9.34,15.55,38.7,0.61,1.55,41.0,16.76,96.0,173.3,8.97,361.10999999999996,0.024840076362216294,0.13666711963838776,0.003519907654241733,0.4270833288845487,0.05389497949281604,516.4200000000001,39.72461538461539,48.01560557462776,173.3,0.52,172.78
2553,100.0,844.0,1367.0,1.2,194.0,291.0,321.0,40.2,48.3,2800.0,261.0,2266.0,2489.0,189.7,5573.0,0.034039117165971806,0.01239672067401472,0.016151064678123318,1.2356575457918546,0.0779429489441772,11022.7,847.9000000000001,988.868196864087,2800.0,1.2,2798.8
788,0.72,249.54,262.22,0.15,64.87,52.92,49.2,2.69,9.36,61.58,33.24,323.32,470.83,12.92,1117.95,0.011556867470319004,0.006087393627996016,0.005713314772394888,0.19046146173926307,0.137777966277047,1580.64,121.58769230769232,146.6239421184919,470.83,0.15,470.68
4182,62.97,115.89,169.45,4.33,40.03,40.28,72.91,12.54,12.68,326.59,37.2,363.71,342.58,92.52,778.3100000000001,0.11887294250507772,0.19219207430986415,0.03660458860235685,0.8979406645460926,0.11684861895951715,1601.1599999999999,123.16615384615383,128.7420544247869,363.71,4.33,359.38
1721,11.6,87.9,144.7,0.59,22.2,29.6,54.3,2.11,4.52,147.0,31.6,197.0,345.0,18.819999999999997,693.1,0.02715336888305674,0.05889878077662177,0.006115942011258139,0.746192889613234,0.06434782590044108,1078.12,82.93230769230769,97.73290172347254,345.0,0.59,344.41
156,17.2,89.9,142.0,1.3,24.0,33.2,59.5,5.16,5.77,102.0,29.5,149.0,289.0,29.43,643.1,0.04576271179324722,0.1104713912150071,0.01785467121849595,0.6845637537948741,0.08304498241160906,947.53,72.88692307692307,79.302561932097,289.0,1.3,287.7
3164,4.31,11.6,44.8,0.16,1.52,6.17,74.2,0.06,0.17,73.0,13.5,403.0,215.0,4.699999999999999,365.27,0.012867194095142786,0.3147551811000397,0.0002790697661438615,0.18114143875647284,0.007069767408977826,847.49,65.19153846153846,113.20584606038912,403.0,0.06,402.94
2746,17.0,36.8,63.5,0.52,9.9,13.35,31.7,0.7,0.99,151.0,16.2,258.0,153.0,19.209999999999997,314.54999999999995,0.0610713716068308,0.16609942418171325,0.004575163368789782,0.5852713155609639,0.06470588193002692,752.66,57.89692307692307,76.67017014806046,258.0,0.52,257.48
5771,8.7,67.0,121.0,0.1,13.0,25.0,42.0,0.9,1.9,55.0,24.0,129.0,264.0,11.6,543.0,0.021362799224009577,0.020121090507328823,0.003409090896177686,0.42635658584219704,0.04924242405589991,751.5999999999999,57.81538461538461,72.45798619416365,264.0,0.1,263.9
3997,2.46,196.0,411.0,0.06,19.28,76.7,136.0,0.32,0.74,155.5,85.0,3163.0,941.0,3.5799999999999996,1845.7,0.0019396434946417922,0.015884804000260194,0.0003400637615939811,0.04916218778085293,0.020488841636037362,5187.0599999999995,399.00461538461536,835.9190558588368,3163.0,0.06,3162.94
1144,7.6,58.9,99.8,0.6,13.9,21.7,35.4,0.99,2.22,38.0,21.0,101.0,218.0,11.41,454.79999999999995,0.025087950692418755,0.10801084308313215,0.004541284382838145,0.3762376200372513,0.06376146759742446,619.11,47.62384615384615,59.18428787576097,218.0,0.6,217.4
6107,4.24,40.02,61.16,0.38,8.38,14.26,26.81,1.48,0.6,123.54,13.65,466.72,134.91,6.7,290.80999999999995,0.02303909761342768,0.16946730339923016,0.01097027639930119,0.2646983196248322,0.062115483936583775,896.15,68.93461538461538,122.80570380235007,466.72,0.38,466.34000000000003
5629,20.0,144.0,261.0,0.4,29.0,55.0,91.0,1.4,4.2,592.0,54.0,1050.0,545.0,25.999999999999996,1150.0,0.02260869563251417,0.03624401866585252,0.002568807334736133,0.5638095232725623,0.05321100907667705,2847.0,219.0,307.7006237337745,1050.0,0.4,1049.6
5338,2.74,142.3,265.7,0.5,14.57,59.35,86.54,0.49,0.8,30.53,65.68,345.0,645.1,4.53,1264.67,0.0035819620900456543,0.14645196944437783,0.00075957215817769,0.08849275336668767,0.022585645601324374,1659.3000000000002,127.63846153846156,182.02129012610473,645.1,0.49,644.61
6358,43.0,51.6,113.0,1.16,12.5,22.1,64.4,1.24,2.35,207.0,26.7,282.0,287.0,47.75,564.8000000000001,0.0845432009834575,0.21402723661968456,0.004320557476234992,0.7340425505885017,0.043554006816884996,1114.0500000000002,85.69615384615386,100.79151197004191,287.0,1.16,285.84
98,11.4,102.0,196.0,2.19,22.6,40.9,98.3,3.31,4.36,212.0,43.2,262.0,451.0,21.26,931.4,0.02282585352928296,0.22062089822867623,0.007339246103460652,0.8091603022551134,0.05011086463390053,1449.26,111.48153846153846,129.5319050003425,451.0,2.19,448.81
2650,2.11,22.2,44.3,0.28,3.44,10.2,34.3,0.26,0.88,27.0,12.0,108.0,133.5,3.5300000000000002,256.5,0.013762183182213712,0.16093014487440568,0.0019475655284826553,0.24999999768518522,0.025767790069155132,398.47,30.651538461538465,41.042752165582705,133.5,0.26,133.24
2291,2.3,102.0,102.0,0.54,14.0,30.3,21.0,0.36,1.28,12.8,17.4,485.0,139.0,4.4799999999999995,411.7,0.010881709956566165,0.12756300608137858,0.002589928038921381,0.026391752522903603,0.10071942373583148,927.98,71.38307692307693,127.44258794179352,485.0,0.36,484.64
5245,6.1,112.0,182.0,0.42,24.7,39.0,62.0,1.7,5.1,138.0,37.0,256.0,385.0,13.319999999999999,817.0,0.01630354955164804,0.037421028868818,0.0044155844041153655,0.5390624978942872,0.0641558439892056,1249.02,96.07846153846154,112.95998487184974,385.0,0.42,384.58
1991,61.0,127.0,201.0,2.1,51.0,40.0,62.4,139.0,17.8,68.6,38.2,96.0,346.0,219.9,814.6,0.2699484406212271,0.06969862416227939,0.40173410288516154,0.7145833258897569,0.14739884350462762,1250.1,96.16153846153846,88.95706430599444,346.0,2.1,343.9
4211,7.63,64.62,107.3,0.6,16.02,24.56,39.38,1.36,3.08,58.27,22.47,70.27,194.29,12.67,452.62,0.0279925764924383,0.08541706248716602,0.00699984555561354,0.8292301006228818,0.08245406308891831,609.8499999999999,46.911538461538456,52.731055489320056,194.29,0.6,193.69
6031,1.91,29.91,16.16,1.0,13.69,6.03,2.7,1.18,3.3,72.8,2.34,1451.33,16.54,7.39,73.67999999999999,0.10029858712949802,0.14877888553261592,0.07134219641220094,0.050160886876064785,0.8276903973585007,1618.8899999999999,124.52999999999999,383.4801203953883,1451.33,1.0,1450.33
3909,52.4,35.0,53.0,0.62,12.5,11.4,20.0,2.89,3.27,110.0,11.0,56.0,97.0,59.18,227.4,0.2602462609487851,0.09697567280246935,0.02979381412583697,1.9642856792091843,0.12886597805292807,465.08000000000004,35.77538461538462,34.65542861579379,110.0,0.62,109.38
3124,9.7,74.6,146.3,0.31,18.1,31.8,60.2,1.02,2.01,63.0,31.6,166.0,283.0,13.04,627.5000000000001,0.020780876460906966,0.05139541435327342,0.003604240269949681,0.3795180700029032,0.06395759694714631,887.64,68.28,80.40068283292126,283.0,0.31,282.69
3274,10.92,102.8,168.0,0.75,22.4,39.0,60.9,1.52,3.9,84.0,39.3,152.0,325.6,17.09,735.6,0.023232735150580837,0.08024259188653225,0.004668304653967123,0.5526315753116344,0.06879606858477864,1011.0899999999999,77.77615384615385,89.33166287996328,325.6,0.75,324.85
830,8.15,40.45,73.32,0.22,9.05,15.97,30.32,0.67,1.6,57.1,15.83,105.25,149.44,10.64,325.33,0.03270525302706405,0.05781471443867562,0.0044834046809194015,0.5425178095722774,0.06055942143629938,507.36999999999995,39.028461538461535,44.251688337396345,149.44,0.22,149.22
2576,43.0,151.0,234.0,2.0,33.0,55.0,81.0,4.0,7.0,231.0,59.0,185.0,641.0,56.0,1221.0,0.045864045826483166,0.13159033870712622,0.006240249600249221,1.2486486418991964,0.05148205920205607,1726.0,132.76923076923077,167.08779536802425,641.0,2.0,639.0
6684,32.39,256.03,361.82,2.29,69.29,85.77,108.39,12.08,15.74,155.92,76.41,125.6,679.91,62.5,1568.33,0.03985130677864269,0.06934223531623458,0.017767057378525016,1.2414012640015823,0.10191054683427139,1981.6399999999999,152.43384615384613,181.43712373663354,679.91,2.29,677.62
6426,262.24,143.18,256.61,3.82,43.91,53.17,105.8,5.16,8.72,69.61,60.12,33.24,560.34,279.94000000000005,1179.22,0.23739420953054208,0.19521959224454932,0.009208694704628092,2.094163595241769,0.07836313652717432,1605.92,123.5323076923077,150.9833999104561,560.34,3.82,556.52
3599,12.3,133.0,190.0,2.2,51.0,45.8,56.4,6.34,10.8,43.0,35.2,46.0,292.0,31.64,752.4,0.042052099890946174,0.09374016521847293,0.021712328692765997,0.9347825883742916,0.17465753364843312,924.04,71.08,81.69777437887484,292.0,2.2,289.8
250,20.5,212.0,355.0,2.1,51.0,80.4,136.0,6.21,9.89,321.0,76.3,274.0,690.0,38.7,1549.7,0.024972575321047574,0.09350526394068197,0.008999999986956522,1.1715328424396612,0.07391304337114052,2234.3999999999996,171.87692307692305,191.16808739087807,690.0,2.1,687.9
1948,10.7,69.0,80.0,0.59,21.7,24.2,35.1,1.56,3.63,37.1,17.1,69.1,162.0,16.48,387.40000000000003,0.042540010215436214,0.06647660466016224,0.009629629570187473,0.5369030313038636,0.13395061645709497,531.78,40.90615384615384,43.425040726868374,162.0,0.59,161.41
5353,911.0,2262.0,2176.0,278.0,841.0,581.0,672.0,848.0,538.0,5596.0,498.0,9370.0,4568.0,2575.0,10757.0,0.2393790089951307,0.4132907261011469,0.18563922938142746,0.5972251867025373,0.18410683008228834,29139.0,2241.4615384615386,2604.3838076887746,9370.0,278.0,9092.0
6722,12.43,69.75,98.66,2.23,20.8,22.28,33.88,2.34,4.71,15.94,21.11,10.54,199.24,21.71,444.92,0.04879528893105437,0.22530080309329795,0.011744629533504167,1.51233382235922,0.1043967069644815,513.9100000000001,39.53153846153847,53.388719904280826,199.24,2.23,197.01000000000002
3127,36.4,49.5,85.7,1.12,13.6,18.0,43.4,1.44,3.2,113.0,20.83,172.0,201.0,42.16,418.42999999999995,0.10075759362197359,0.16977493557489387,0.00716417906883493,0.6569767403664143,0.06766169120566323,759.19,58.399230769230776,63.47474657889103,201.0,1.12,199.88
6488,33.44,81.9,146.0,1.3,20.2,30.4,61.8,1.91,3.46,89.4,34.4,101.0,361.0,40.10999999999999,715.4999999999999,0.05605870013129462,0.15549972133461631,0.005290858711105654,0.8851485060876386,0.05595567851535823,966.21,74.32384615384616,92.90022352696977,361.0,1.3,359.7
4135,0.59,17.04,35.22,0.28,3.59,7.26,20.49,0.14,0.43,42.69,8.43,98.8,87.81,1.44,176.25,0.00817021271960163,0.2253597948326374,0.001594351422453577,0.43208501586958487,0.040883725761488146,322.77,24.828461538461536,32.06787437395727,98.8,0.14,98.66
3840,12.16,87.0,124.0,0.15,26.2,29.2,36.9,3.01,5.36,78.0,23.3,185.0,194.0,20.68,494.4,0.041828478879796765,0.012657799641367191,0.015515463837549155,0.42162161934258585,0.1350515456956106,804.28,61.86769230769231,64.90247727331382,194.0,0.15,193.85
3904,8.64,55.0,131.0,0.06,9.97,23.0,68.0,0.44,1.36,257.0,32.0,616.0,322.0,10.5,631.0,0.016640253539397378,0.01629424346020795,0.0013664596230855291,0.41720779153050686,0.030962732823097104,1524.47,117.26692307692308,174.7433703104516,616.0,0.06,615.94
5176,27.12,12.63,59.28,0.21,1.58,33.21,66.58,2.12,0.52,1204.38,42.89,1443.35,58.39,29.970000000000002,272.97999999999996,0.10978826247421695,0.23168014436813208,0.036307586293756015,0.8344337819417095,0.027059427520818163,2952.2599999999998,227.09692307692305,470.55960339193877,1443.35,0.21,1443.1399999999999
2327,34.6,239.0,434.0,2.69,46.4,90.3,172.8,1.13,5.52,1082.0,91.8,2530.0,820.0,43.94,1847.8999999999999,0.023778342971059935,0.16808298417703124,0.0013780487788072574,0.4276679840206846,0.056585365784651995,5550.24,426.94153846153847,688.9067855315981,2530.0,1.13,2528.87
4950,9.59,102.0,179.4,0.79,19.13,45.6,69.3,1.28,7.55,33.8,41.5,87.1,334.6,19.209999999999997,772.4,0.024870533370183148,0.06573491852113039,0.0038254632282562363,0.3880596970372021,0.05717274340354828,931.6400000000001,71.66461538461539,90.14093141941548,334.6,0.79,333.81
58,43.06,84.8,167.94,0.57,14.1,33.81,78.71,0.46,1.23,340.0,41.16,489.0,390.94,45.32,797.36,0.05683756388978935,0.13687140681062268,0.0011766511455040386,0.6952965220955082,0.03606691554697162,1685.7800000000002,129.67538461538464,160.63176860879835,489.0,0.46,488.54
4128,8.4,67.24,125.82,0.47,15.43,27.79,58.47,0.97,3.05,127.27,28.48,318.29,273.59,12.890000000000002,581.39,0.02217100393510208,0.06851173576173171,0.003545451209673412,0.39985547645274594,0.05639825996418634,1055.27,81.17461538461538,100.90729306686826,318.29,0.47,317.82
6477,31.33,92.47,159.39,1.38,23.49,33.63,63.93,2.36,4.37,112.85,36.34,88.03,335.53,39.44,721.29,0.05467980970943752,0.13620619392788205,0.0070336482370171125,1.2819493208911812,0.0700086428337,985.1,75.77692307692308,87.91225856453217,335.53,1.38,334.15
3652,20.8,36.1,99.9,0.55,7.5,17.3,61.8,0.56,0.93,165.0,26.3,410.0,287.0,22.84,528.4,0.04322482959268579,0.20825265762875173,0.001951219505396448,0.4024390234086853,0.026132404090130998,1133.74,87.21076923076923,122.60112732958538,410.0,0.55,409.45
6798,12.0,96.0,174.0,0.27,19.0,38.0,68.0,1.61,3.33,147.0,38.0,547.0,349.0,17.209999999999997,763.0,0.022555701149992523,0.03394414261996382,0.00461318050254103,0.268738573548924,0.054441260588993526,1493.21,114.8623076923077,156.5562586103129,547.0,0.27,546.73
671,66.9,88.8,144.0,0.79,22.7,32.8,50.3,1.91,4.16,113.0,30.0,106.0,273.0,73.76,618.9,0.11917918869093685,0.08129568505459023,0.0069963369707093884,1.066037725792097,0.08315018284560373,934.3600000000001,71.87384615384616,73.12676081124859,273.0,0.79,272.21
45,18.93,66.83,125.57,0.49,11.84,25.27,65.62,0.48,1.19,106.0,32.22,194.0,309.69,21.09,625.2,0.033733205320324366,0.13054093912390544,0.0015499370288031998,0.5463917497608672,0.038231780043812266,958.1300000000001,73.7023076923077,88.09115935332568,309.69,0.48,309.21
1599,28.9,85.3,164.9,0.56,16.3,32.5,65.9,0.84,2.47,165.0,35.5,167.0,394.0,32.77,778.1,0.0421154092762943,0.08825630535861802,0.002131979690020356,0.9880239461794973,0.0413705582706331,1159.17,89.16692307692308,107.13966724899258,394.0,0.56,393.44
1884,14.5,127.2,234.9,1.55,28.7,46.2,88.5,2.94,6.13,217.0,49.5,192.0,595.0,25.12,1141.3,0.0220099885901954,0.11685855487004447,0.004941176462283737,1.1302083274468318,0.048235294036579335,1604.12,123.39384615384614,158.08878141185107,595.0,1.55,593.45
1053,32.4,66.3,138.0,1.14,15.2,26.9,84.3,0.74,2.32,326.0,32.4,766.0,479.0,36.6,826.9,0.04426170027299347,0.1919725168631939,0.001544885174227797,0.42558746680732706,0.0317327765517061,1970.6999999999998,151.59230769230768,224.86536464682922,766.0,0.74,765.26
5598,26.0,223.0,359.0,1.4,50.0,83.0,121.0,6.1,9.0,570.0,72.0,792.0,703.0,42.5,1561.0,0.02722613707416647,0.06599663283741483,0.008677098138439405,0.7196969687882614,0.07112375523310988,3015.5,231.96153846153845,271.1106998951409,792.0,1.4,790.6
2355,15.9,82.1,148.1,0.88,21.7,30.5,63.8,0.92,4.02,157.0,31.0,848.0,302.0,21.72,657.5,0.03303422048207723,0.09421927892579052,0.0030463576058067632,0.18514150921563502,0.07185430439783343,1705.92,131.2246153846154,222.99974048330483,848.0,0.88,847.12
6668,22.93,125.71,188.48,0.1,29.01,42.42,57.89,3.04,6.21,80.96,40.14,160.32,385.25,32.28,839.89,0.038433604354815985,0.0074504127696091065,0.007890979862709981,0.504990016810192,0.07530175191355808,1142.46,87.88153846153847,103.69269218714379,385.25,0.1,385.15
1365,28.6,72.5,149.4,0.2,13.4,28.7,60.3,0.62,1.64,204.0,32.4,274.0,367.0,31.060000000000002,710.3,0.04372800219100662,0.042663419607207556,0.0016893732923995279,0.7445255447280089,0.036512261480893024,1232.7599999999998,94.82769230769229,113.87172203532333,367.0,0.2,366.8
5966,14.05,84.0,161.0,1.16,20.51,35.0,74.0,3.27,2.93,265.0,37.0,494.0,357.0,21.41,748.0,0.028622994614140383,0.14963781059480558,0.009159663839888896,0.5364372458776574,0.05745098023122975,1548.92,119.14769230769231,151.61830679773806,494.0,1.16,492.84
1382,0.6,22.3,13.8,0.14,12.7,4.4,2.2,0.68,2.26,27.0,2.0,747.0,16.0,3.68,60.7,0.060626028655254884,0.026131957792569535,0.042499997343750165,0.036144578264866695,0.793749950390628,851.08,65.46769230769232,196.9300785774502,747.0,0.14,746.86
1726,6.9,98.9,150.3,1.04,24.3,33.1,47.3,2.5,5.18,135.0,30.4,204.0,325.0,15.620000000000001,684.9999999999999,0.02280291967474027,0.09269692354963223,0.007692307668639054,0.6617647026384084,0.0747692305391716,1063.92,81.84,94.33794048729607,325.0,1.04,323.96
1688,25.3,79.9,142.2,0.76,16.8,29.4,50.7,1.08,2.9,174.0,30.0,141.0,332.0,30.040000000000003,664.2,0.045227341094207556,0.10888296734420201,0.0032530120383945423,1.2340425444394145,0.050602409486137326,1026.04,78.92615384615384,92.5168563051713,332.0,0.76,331.24
4653,11.85,110.6,237.0,1.75,20.5,46.4,138.8,1.27,7.63,35.5,61.6,100.8,561.0,22.5,1155.3999999999999,0.019473775299053336,0.13992613804587697,0.002263814612720473,0.35218253618866535,0.036541889417928894,1334.6999999999998,102.66923076923075,147.6344634802477,561.0,1.27,559.73
5616,7.5,109.0,191.0,0.4,22.0,39.0,64.0,2.6,3.4,288.0,39.0,423.0,394.0,13.9,836.0,0.016626794238484698,0.04624972869713209,0.006598984754824912,0.6808510622202103,0.055837563310056945,1582.9,121.76153846153846,146.87288872963242,423.0,0.4,422.6
393,36.49,57.7,116.0,0.78,12.7,23.5,64.2,8.4,3.14,290.0,27.3,443.0,281.0,48.81,569.6999999999999,0.08567667178220702,0.12351733498304075,0.02989323832778207,0.6546275380256715,0.04519572937652765,1364.21,104.93923076923078,135.85319001727498,443.0,0.78,442.22
104,54.8,79.6,121.0,0.85,23.5,28.4,40.2,30.4,9.46,162.0,24.9,297.0,220.0,95.50999999999999,514.1,0.1857809761023517,0.05700847523576571,0.138181817553719,0.5454545436179982,0.10681818133264463,1092.11,84.00846153846153,87.57236707178934,297.0,0.85,296.15
1464,9.9,114.8,210.8,0.15,24.1,43.0,76.1,1.47,4.28,173.0,44.1,316.0,470.0,15.800000000000002,958.8000000000001,0.01647893198114421,0.01476933193345342,0.0031276595678134903,0.547468352697885,0.05127659563558171,1487.7,114.43846153846154,138.2124681477011,470.0,0.15,469.85
1472,10.0,42.1,82.8,0.04,7.6,15.9,37.1,0.85,1.75,129.0,19.2,448.0,223.0,12.639999999999999,420.1,0.030088074196410197,0.010968169529804443,0.00381165917573247,0.287946427928691,0.03408071733596091,1017.3399999999999,78.25692307692307,123.49019222249163,448.0,0.04,447.96
1496,34.5,112.4,208.3,1.04,24.7,41.4,79.8,1.46,4.06,128.0,45.3,82.0,502.0,41.06,989.1999999999999,0.04150828948492895,0.10385366889874828,0.002908366528070983,1.56097559071981,0.0492031871529817,1264.96,97.30461538461539,130.08941614936566,502.0,1.04,500.96
970,26.48,365.73,896.19,2.74,62.65,139.47,383.6,5.42,10.36,718.04,166.16,609.32,2777.49,45.0,4728.64,0.009516478308876022,0.10754993372892765,0.001951402164561744,1.1784284100662565,0.02255633682837514,6163.65,474.12692307692305,724.0296401007204,2777.49,2.74,2774.75
6344,13.3,8.88,15.5,0.15,2.46,3.49,6.93,0.01,0.5,22.1,3.42,16.7,33.2,13.96,71.42,0.19546345287785702,0.1352503902202926,0.0003012048102046744,1.3233532141704663,0.0740963833103499,126.64,9.741538461538461,9.648003257871824,33.2,0.01,33.190000000000005
2766,21.6,48.5,81.6,0.42,9.4,18.0,36.9,0.67,1.32,171.0,20.9,401.0,178.0,24.010000000000005,383.9,0.06254232856852743,0.11923352416009897,0.0037640449226739054,0.42643391414854387,0.05280898846736524,989.31,76.10076923076923,110.28957189435025,401.0,0.42,400.58
6679,18.8,227.46,333.28,0.14,47.6,78.24,89.84,4.24,9.38,135.22,66.9,212.48,600.72,32.56,1396.44,0.023316433199194783,0.0066255683664963845,0.007058196818720541,0.6363893042338606,0.07923824730450418,1824.3,140.33076923076922,164.66712802880372,600.72,0.14,600.58
5542,13.4,13.1,33.1,0.34,3.42,6.12,27.5,0.33,0.46,92.1,8.7,149.0,110.0,14.530000000000001,198.51999999999998,0.07319161760431385,0.27107334201298927,0.002999999972727273,0.6181208012206657,0.031090908808264466,457.57,35.19769230769231,47.236156971580435,149.0,0.33,148.67
1697,15.5,130.4,247.7,0.38,23.5,49.2,91.1,1.2,3.33,158.0,53.6,155.0,591.0,20.41,1162.9999999999998,0.01754944108551209,0.04295636717931367,0.002030456849356249,1.0193548321331947,0.03976311329989321,1519.91,116.91615384615385,155.24804022241122,591.0,0.38,590.62
2799,18.3,325.0,514.0,0.54,56.0,116.0,153.0,1.79,4.79,367.0,114.2,777.0,853.0,25.419999999999998,2075.2,0.012249421736579886,0.03297099008852574,0.002098475964714565,0.4723294717215837,0.06565064470615399,3300.62,253.89384615384614,284.36770119900586,853.0,0.54,852.46
4874,8.89,76.3,141.7,0.52,16.59,30.9,57.6,2.36,7.06,48.2,33.0,146.6,277.7,18.83,617.1999999999999,0.03050874914045893,0.04804827474942696,0.008498379515670222,0.3287858094898649,0.05974072718854618,847.4200000000001,65.18615384615386,77.14328990595872,277.7,0.52,277.18
3197,50.9,81.9,134.0,1.26,23.1,30.1,47.5,1.96,4.91,82.0,28.5,71.0,228.0,59.029999999999994,550.0,0.10732727253213221,0.11831064095852568,0.008596491190366267,1.1549295611981751,0.10131578902931672,785.1300000000001,60.39461538461539,60.84245286809134,228.0,1.26,226.74
4514,13.18,121.6,180.7,0.46,31.7,42.1,48.2,3.3,6.68,40.79,37.1,91.4,335.0,23.62,764.7,0.03088792986676091,0.03161112617936865,0.009850746239251503,0.44628008264463803,0.09462686538917353,952.21,73.24692307692308,90.5715899916164,335.0,0.46,334.54
5646,3.8,228.0,429.0,0.4,42.0,90.0,176.0,2.6,5.7,130.0,96.0,180.0,995.0,12.500000000000002,2014.0,0.006206554118070232,0.025852224423655593,0.0026130653240069696,0.7222222182098765,0.04221105523395874,2378.5,182.96153846153845,261.69357165163035,995.0,0.4,994.6
