,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE
4044,18.6,97.0,156.0,0.44,25.4,33.8,52.2,1.89,4.9,118.0,29.4,93.0,260.0,25.830000000000002,628.4,0.04110439204152707,0.039440079021668024,0.007269230741272189,1.2688171906578798,0.09769230731656804,890.63,68.51,72.66968175349227,260.0,0.44,259.56
2615,27.0,83.0,135.0,1.0,21.0,31.0,48.0,2.0,5.0,70.0,32.0,58.0,328.0,35.0,657.0,0.053272450451640106,0.097590006830139,0.006097560957019631,1.206896530915577,0.06402439004870612,841.0,64.6923076923077,84.14491585298143,328.0,1.0,327.0
4584,89.18,237.75,386.33,1.67,57.33,85.43,156.28,13.2,16.68,1800.0,86.69,2719.92,827.4,120.73,1779.8799999999999,0.06783041549552193,0.05400419252824776,0.015953589538368878,0.6617841698793405,0.06928934001777938,6477.860000000001,498.2969230769231,801.5065489284214,2719.92,1.67,2718.25
1555,13.3,35.3,71.7,0.37,7.7,13.4,35.1,0.67,1.4,90.0,16.9,70.0,201.0,15.74,373.4,0.04215318681801503,0.11269180198964458,0.0033333333167495857,1.285714267346939,0.03830845752085345,556.8399999999999,42.833846153846146,53.97455733077627,201.0,0.37,200.63
299,27.34,150.58,320.08,2.07,25.8,64.87,252.72,1.6,4.22,62.47,87.47,179.88,1115.11,35.230000000000004,1990.83,0.017696136778280348,0.19838291389854273,0.0014348360238587798,0.3472870783450796,0.023136730884722824,2294.21,176.4776923076923,287.84912832817463,1115.11,1.6,1113.51
5357,61.8,941.0,1020.0,99.2,427.0,248.0,697.0,127.0,156.0,1048.0,293.0,2468.0,3438.0,444.0,6637.0,0.06689769473152062,0.3843575668618107,0.036940081431954604,0.42463533208077986,0.12420011631058753,11024.0,848.0,978.865783209558,3438.0,61.8,3376.2
1047,30.4,123.0,176.0,1.93,34.8,42.5,63.3,3.74,7.46,139.0,36.3,216.0,311.0,43.53,752.0999999999999,0.05787794168610832,0.1197838513049642,0.01202572343400089,0.6435185155392661,0.11189710574952698,1185.4299999999998,91.18692307692307,92.00613686761213,311.0,1.93,309.07
235,10.5,120.0,174.0,1.04,33.1,41.8,52.2,5.91,8.37,209.0,37.8,174.0,351.0,25.82,776.8,0.03323892889644834,0.06248224315705377,0.016837606789636448,1.2011494183841989,0.09430199403332766,1218.72,93.7476923076923,101.82740262544158,351.0,1.04,349.96
3313,5.8,354.0,514.0,0.78,94.1,127.0,162.0,7.0,17.8,352.0,98.4,536.0,870.0,31.380000000000003,2125.4,0.014764279658057647,0.019058547096604837,0.008045977002246003,0.6567164166852306,0.10816091941590698,3138.88,241.4523076923077,257.3582715011491,870.0,0.78,869.22
1635,41.5,160.9,189.7,3.73,64.8,47.7,49.3,19.71,22.04,454.0,34.7,295.0,335.0,86.98,817.3,0.10642358973886751,0.09869963204973704,0.05883582071989307,1.538983045630566,0.19343283524348406,1718.0800000000002,132.16000000000003,139.47670492015723,454.0,3.73,450.27
968,15.35,109.08,280.98,0.78,18.99,42.05,138.81,0.98,2.89,131.49,54.92,202.24,968.99,20.0,1594.83,0.012540521552428458,0.10528904704874943,0.001011362345316915,0.6501681138737732,0.019597725446498182,1967.55,151.35,250.36136354047554,968.99,0.78,968.21
1468,4.1,73.5,146.9,0.24,12.3,29.5,63.3,0.32,1.5,40.0,31.4,414.0,366.0,6.16,710.5999999999999,0.008668730637955629,0.05587442214735428,0.0008743169375018663,0.09661835725454503,0.03360655728522799,1183.06,91.00461538461538,133.67686346130384,414.0,0.24,413.76
3689,20.5,69.9,143.0,0.42,17.3,29.9,62.5,0.78,2.15,327.0,34.9,837.0,299.0,23.85,639.1999999999999,0.037312265273291206,0.06886634010140918,0.0026086956434491788,0.39068100311746595,0.057859531579065114,1844.35,141.87307692307692,226.5652593840532,837.0,0.42,836.58
6622,84.74,141.98,239.65,2.37,33.52,54.46,90.68,4.25,7.48,235.31,49.26,136.3,473.13,98.84,1049.16,0.09420870020377377,0.1496737160220292,0.008982731999698325,1.7264123130857496,0.07084733567762067,1553.13,119.47153846153847,127.65201639590668,473.13,2.37,470.76
6124,4.14,43.79,37.51,0.58,17.32,10.29,13.53,1.82,2.78,40.69,6.88,297.0,68.1,9.32,180.1,0.05174902803026637,0.08358563521357139,0.02672540342547132,0.1370033665420762,0.2543318611698699,544.43,41.879230769230766,76.3047126744565,297.0,0.58,296.42
1577,26.3,49.6,88.7,0.73,14.9,17.8,37.7,1.13,2.86,141.0,18.9,126.0,210.0,31.02,422.7,0.07338537952830523,0.11182700774629382,0.005380952355328798,1.1190476101662887,0.07095238061451248,735.62,56.58615384615385,62.988382877438546,210.0,0.73,209.27
4169,27.31,172.7,359.55,2.83,32.72,74.0,155.61,4.29,5.62,341.68,80.58,1410.63,779.14,40.05,1621.58,0.024698133903539674,0.20869480051609762,0.005506070788938996,0.24221801589203543,0.04199502009652306,3446.66,265.1276923076923,391.9415066082781,1410.63,2.83,1407.8000000000002
1133,12.3,69.8,125.1,0.61,16.0,26.5,46.1,1.2,2.08,77.0,25.7,73.0,274.0,16.19,567.2,0.028543723503977922,0.10573972331679665,0.004379562027811817,1.0547945060987054,0.05839416037082423,749.39,57.645384615384614,72.08891610263031,274.0,0.61,273.39
3046,18.2,126.0,242.0,0.77,30.5,49.5,114.0,1.97,4.4,239.0,54.4,393.0,524.0,25.34,1109.9,0.022830885644805034,0.06646828381990909,0.003759541977558126,0.6081424920912405,0.058206106759148654,1797.74,138.2876923076923,159.7285239761441,524.0,0.77,523.23
2048,26.04,70.7,148.0,1.35,14.11,29.21,82.76,1.28,2.69,155.0,40.55,307.0,469.0,31.360000000000003,840.2199999999999,0.03732355807131043,0.219126103358214,0.0027292110816008294,0.5048859918407622,0.03008528778233414,1347.6899999999998,103.66846153846153,134.63887767746922,469.0,1.28,467.72
