,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
1685,11.3,58.8,105.7,0.34,12.5,21.7,45.3,0.45,2.03,169.0,22.7,241.0,251.0
7023,22.91,106.15,161.37,1.19,28.43,36.49,56.06,8.85,6.05,41.75,34.87,49.31,318.79
7146,12.0,204.0,330.0,0.58,46.0,77.0,117.0,1.97,7.78,235.0,68.0,705.0,604.0
1447,51.6,114.9,229.4,0.87,27.4,44.8,96.7,1.65,4.33,392.0,48.8,355.0,556.0
889,23.54,59.61,113.82,0.6,12.33,22.77,54.68,0.77,2.19,216.72,25.46,373.52,249.93
6919,19.41,48.01,79.28,1.76,15.59,18.33,33.58,2.62,3.83,27.28,17.09,19.53,161.22
2732,28.8,896.0,808.0,1.24,239.0,239.0,148.0,35.9,40.5,12000.0,136.0,20100.0,1011.0
895,49.68,68.64,138.99,0.63,14.93,27.92,71.42,2.28,2.53,583.13,32.24,942.61,323.65
5155,7.38,111.3,234.1,0.94,16.87,46.1,133.9,0.97,6.18,34.9,60.8,126.9,589.0
1150,31.28,123.58,210.74,1.53,31.21,46.76,82.73,3.4,6.3,166.24,44.51,136.09,410.6
4850,8.98,42.0,80.8,0.62,8.49,16.35,34.9,0.53,1.33,32.66,19.52,106.07,214.5
7015,16.67,143.78,216.69,1.71,38.39,47.75,68.28,4.02,8.33,60.95,43.96,62.63,418.32
4410,4.01,113.0,189.0,0.59,18.0,40.4,58.9,0.33,1.95,114.0,36.3,659.0,313.0
3120,33.7,43.8,107.4,0.24,5.6,20.3,69.0,1.09,1.23,170.0,32.1,664.0,308.0
44,12.91,17.12,53.14,0.16,3.02,9.77,30.03,0.08,0.46,44.0,14.36,120.0,139.43
5496,69.49,151.81,233.17,53.27,78.7,52.69,97.81,51.33,48.67,272.45,34.525000000000006,629.99,554.86
2149,19.3,58.5,97.8,1.39,16.0,19.5,36.5,1.72,3.77,51.0,19.9,66.0,241.0
3072,7.09,216.7,352.0,1.51,49.8,81.8,130.1,1.42,3.26,121.0,87.2,242.0,712.0
2730,141.0,1410.0,1130.0,8.6,497.0,345.0,183.0,151.0,169.0,10800.0,181.0,13100.0,1310.0
3119,7.72,48.0,90.3,0.46,10.1,19.1,49.9,0.46,1.53,224.0,24.4,660.0,240.0
3794,47.5,81.8,151.8,0.84,21.1,30.8,65.7,1.61,2.5,333.0,31.7,272.0,323.0
6771,19.71,57.58,104.03,0.79,17.52,22.22,42.03,2.03,2.11,42.99,21.59,56.7,202.4
5143,9.83,62.5,127.4,0.51,10.78,25.18,74.1,0.52,3.19,184.0,33.9,347.0,311.3
4389,3.16,40.0,81.0,0.47,11.0,14.1,36.0,1.56,1.8,123.0,17.1,391.0,164.0
2580,0.55,157.0,271.0,0.34,16.1,56.9,98.4,0.24,0.97,10.3,62.0,3608.0,627.0
1774,42.4,102.9,183.1,2.1,27.4,36.6,77.5,3.71,6.05,261.0,39.9,228.0,450.0
1519,40.2,107.1,127.9,7.31,51.0,31.7,42.6,11.01,15.14,384.0,24.4,227.0,259.0
6829,44.36,175.49,280.03,5.77,61.1,61.9,115.5,8.92,13.35,322.9,62.23,254.93,556.98
5578,26.4,150.0,251.0,0.35,32.8,52.0,91.0,3.4,5.1,519.0,50.0,1111.0,552.0
996,78.3,46.2,121.0,0.44,9.56,21.4,84.3,2.5,1.86,421.0,32.1,298.0,372.0
7216,1196.0,298.0,209.0,10.0,205.0,64.0,36.0,1384.0,343.0,3559.0,35.0,950.0,267.0
4482,7.31,166.93,305.95,0.74,33.95,64.41,151.65,1.47,3.76,301.02,67.99,2297.23,688.03
355,46.98,275.99,469.59,5.4,62.55,103.78,318.67,5.98,11.37,144.5,119.82,263.2,1478.38
732,22.09,53.3,114.0,0.59,10.9,22.6,64.7,0.77,1.77,264.0,27.2,391.0,285.0
5276,8.33,121.3,227.0,1.4,28.92,46.6,78.1,2.85,12.75,39.8,49.9,86.1,394.0
4130,53.5,140.8,258.0,0.97,27.9,52.8,106.9,0.95,4.08,84.0,53.2,89.0,510.0
5795,15.3,84.4,145.0,1.16,18.8,33.8,56.7,11.0,4.85,66.47,31.1,167.74,250.0
2753,22.9,101.2,205.0,1.27,21.2,38.5,95.4,2.23,4.17,221.0,46.9,630.0,430.0
2405,1.57,109.0,118.0,0.62,17.9,32.3,25.6,0.37,1.77,13.2,20.6,1251.0,169.0
3899,4.26,75.8,124.9,0.19,14.7,29.3,57.5,0.46,2.66,94.0,27.0,329.0,290.0
4287,11.32,87.0,95.0,1.87,39.4,25.9,23.4,7.7,9.6,115.0,16.8,222.0,127.0
6306,1.88,2.81,4.95,0.64,1.37,1.37,3.08,0.09,0.1,43.74,1.13,47.99,9.35
3139,10.55,102.9,192.5,0.45,11.5,39.9,84.9,0.56,1.59,1.0,48.9,1044.0,428.0
1830,20.5,80.5,151.4,0.39,15.9,30.4,57.9,1.14,2.45,119.0,32.6,101.0,372.0
6990,32.95,292.81,440.76,0.32,66.45,103.4,122.87,10.67,13.54,184.1,91.87,270.21,781.8
6097,33.0,97.0,162.0,2.2,26.0,34.0,59.0,3.0,5.4,193.0,32.0,172.0,350.0
6178,13.61,293.0,569.0,0.08,49.44,122.0,231.0,0.72,5.84,1400.0,126.0,4742.0,1150.0
1528,45.9,41.7,47.4,1.57,17.7,11.5,14.1,3.59,5.38,273.0,9.0,251.0,89.0
3609,21.3,136.1,229.0,0.8,33.0,53.0,84.2,2.48,7.02,68.0,47.1,190.0,432.0
5268,8.22,56.4,107.2,0.41,10.33,26.18,42.2,0.6,3.58,23.08,25.61,63.2,213.1
3040,12.44,162.0,309.0,1.04,35.0,65.4,151.8,3.66,6.27,511.0,71.4,709.0,701.0
1901,12.1,67.6,116.6,0.33,14.5,25.0,44.9,0.95,2.56,107.0,24.8,116.0,266.0
4677,26.3,58.4,100.4,1.0,13.8,21.01,38.3,1.94,3.04,170.7,23.07,131.98,225.2
6552,79.9,157.0,287.0,2.66,35.5,61.8,116.0,2.49,6.07,114.0,65.1,116.0,622.0
1987,5.1,179.1,243.6,1.6,50.2,58.0,64.6,6.22,11.7,48.0,44.8,78.0,451.0
1868,9.6,51.0,96.2,0.12,9.8,19.3,35.8,0.5,1.64,114.0,20.7,185.0,233.0
7101,7.31,66.0,91.0,0.23,19.0,22.0,34.0,1.71,4.02,222.0,19.0,564.0,169.0
3204,5.71,97.0,165.0,0.34,19.5,35.7,69.1,1.11,2.77,151.0,31.9,402.0,361.0
6493,0.9,17.25,8.61,0.09,12.73,3.1,1.35,1.03,2.87,48.41,1.14,587.38,7.42
6891,28.07,89.09,128.01,3.53,30.45,29.98,46.13,5.09,6.95,42.55,27.66,21.4,255.81
4517,44.18,117.16,199.73,2.8,28.02,43.89,83.29,7.15,6.66,390.11,43.52,648.9,412.05
4779,7.03,153.5,226.8,1.26,38.2,53.1,64.6,2.79,7.48,110.34,47.8,446.7,447.0
2279,8.7,105.0,191.0,0.59,25.0,37.1,62.0,12.0,1.8,81.9,36.7,270.5,344.0
5972,11.0,88.0,147.0,0.1,17.0,31.0,48.0,1.4,2.8,176.0,28.0,441.0,299.0
2877,136.0,1131.0,1580.0,1.8,303.0,361.0,335.0,67.2,76.5,3583.0,288.0,2274.0,2615.0
6550,134.0,216.0,393.0,2.45,46.2,86.3,146.0,3.73,7.51,166.0,85.4,148.0,799.0
97,19.9,75.5,138.0,0.73,15.9,29.8,65.6,3.82,3.14,194.0,29.9,260.0,312.0
5937,95.0,169.0,256.0,0.4,53.0,58.0,81.0,61.0,20.0,813.0,49.0,985.0,490.0
1934,27.2,87.7,181.2,0.28,14.0,36.3,80.0,0.89,2.19,150.0,41.5,190.0,464.0
4937,10.96,109.21,195.03,0.26,19.77,42.27,83.64,1.57,2.47,180.39,47.41,828.43,455.58
1989,8.1,97.6,159.0,0.81,24.7,34.9,51.8,2.46,5.18,93.0,32.0,85.0,339.0
2237,0.6,168.5,284.0,0.08,26.8,58.6,87.7,0.83,3.43,58.0,56.2,307.0,635.0
1436,7.1,37.1,62.0,0.82,8.5,12.6,27.4,0.86,1.89,182.0,13.3,277.0,147.0
6403,4.83,73.12,123.06,0.78,20.09,28.58,53.07,1.26,2.84,66.56,27.14,325.21,273.52
4745,9.83,126.3,233.9,1.2,27.9,49.7,83.3,1.93,4.76,45.69,51.7,107.29,525.0
325,22.37,126.36,302.38,1.87,20.06,58.19,248.37,1.49,3.41,46.98,86.87,165.58,1112.47
6878,18.54,45.31,69.77,2.0,14.84,15.51,27.2,2.03,3.41,22.24,14.97,14.7,151.0
2358,14.8,90.9,158.0,0.59,19.9,33.7,64.8,1.56,3.63,332.59,34.525000000000006,606.24,342.54
6287,26.5,43.0,85.0,0.92,10.98,17.0,49.0,1.17,2.14,139.0,19.0,122.0,205.0
6198,29.7,499.0,864.0,0.18,105.8,194.0,327.0,3.81,13.9,2972.0,182.0,7509.0,1647.0
723,26.19,142.0,283.0,1.4,28.7,58.0,141.0,2.47,4.34,336.0,65.9,601.0,651.0
2315,15.8,60.7,138.0,0.59,22.0,21.4,52.3,3.0,1.2,59.5,25.1,199.9,250.0
125,46.1,97.5,136.0,5.15,34.9,30.5,76.9,13.5,11.1,304.0,30.8,710.0,332.0
1358,7.69,64.1,111.0,0.11,14.2,24.6,11481.0,2.38,3.63,162.0,23.2,415.0,41.5
2765,3.22,108.8,266.0,0.18,15.3,46.8,141.9,0.42,1.99,126.0,63.3,1532.0,633.0
2143,7.8,52.9,100.6,0.46,10.8,19.3,40.1,0.7,1.92,46.0,22.0,56.0,264.0
6214,17.38,295.0,483.0,0.15,66.25,110.0,166.0,5.39,11.55,923.0,100.0,2121.0,858.0
2968,26.2,73.1,110.1,2.67,22.9,26.6,47.1,3.37,5.32,85.0,24.2,76.0,219.0
3544,1.1,125.0,233.0,0.06,22.5,49.9,98.0,1.15,3.26,56.0,51.8,164.0,464.0
1526,13.2,215.2,360.0,1.37,54.3,77.0,119.4,6.79,11.34,280.0,73.1,247.0,758.0
3938,11.07,63.8,139.5,0.47,12.2,27.1,67.1,0.61,1.66,101.0,30.1,161.0,301.0
6498,1.21,12.57,5.02,0.19,15.92,1.98,0.6,1.25,3.42,39.11,0.76,575.64,4.03
4871,38.9,189.9,262.0,1.62,60.0,62.1,74.1,12.39,17.0,99.12,54.6,190.36,517.0
1083,554.12,197.48,318.59,282.92,108.65,123.45,190.02,143.47,127.76,555.61,134.69,388.36,650.2
2705,0.27,57.5,54.2,0.14,11.0,15.43,10.9,0.21,0.85,12.0,7.93,854.0,57.6
6289,25.17,88.0,202.0,0.69,19.52,39.0,131.0,2.09,3.41,348.0,50.0,510.0,542.0
2432,1.14,32.5,23.6,0.7,13.6,7.68,3.71,0.86,1.86,24.4,3.26,2484.0,26.8
335,9.67,72.49,152.28,1.17,12.51,30.84,129.49,0.82,2.33,19.27,43.97,68.75,562.5
5389,3.52,17.82,49.45,0.22,1.71,8.57,31.37,0.04,3.63,62.33,12.73,699.91,139.03
3291,4.38,61.3,103.6,0.29,12.26,24.0,44.1,0.42,1.78,60.0,22.0,181.0,217.0
6731,4.78,26.26,35.89,0.41,9.89,8.39,12.95,0.86,1.92,37.31,7.26,71.72,66.91
4909,16.72,199.19,293.42,2.45,61.18,69.58,110.09,11.71,14.92,1000.0,59.77,375.16,545.33
798,21.85,44.9,96.8,0.55,9.25,18.8,59.4,1.13,1.61,231.0,23.4,328.0,249.0
2640,1.2,20.5,38.3,0.42,4.51,7.43,15.5,0.22,0.61,48.0,7.64,144.0,73.5
1589,9.6,59.6,126.7,0.05,11.0,23.0,49.6,0.62,1.85,93.0,26.0,161.0,302.0
4760,11.87,85.9,107.6,0.46,28.2,26.65,29.68,3.08,7.24,136.35,22.04,174.9,204.0
3232,9.13,115.5,265.0,0.17,20.0,50.4,119.0,0.33,1.6,278.0,61.6,994.0,576.0
5959,12.0,196.0,291.0,0.2,53.0,66.0,85.0,6.4,11.0,290.0,57.0,420.0,522.0
5167,5.05,26.2,46.6,0.76,6.82,10.28,26.4,0.77,3.78,11.22,11.83,44.0,125.5
6112,32.63,102.0,189.0,1.53,26.11,40.0,91.0,13.17,5.94,200.0,42.0,281.0,416.0
316,19.33,119.5,238.23,1.78,22.02,49.24,187.57,1.24,3.08,43.58,65.13,110.46,818.8
1621,2.1,130.8,205.7,0.27,35.0,44.3,67.4,3.51,6.07,149.0,39.8,295.0,435.0
6687,31.1,49.6,95.6,1.01,13.3,19.9,48.8,1.24,2.14,214.0,21.5,272.0,226.0
5921,25.0,89.0,161.0,1.0,22.0,34.0,69.0,4.2,4.0,320.0,35.0,515.0,366.0
3876,2.34,67.3,113.3,0.16,12.4,26.5,46.9,0.59,1.92,74.0,24.11,211.0,235.0
4361,22.43,43.0,119.0,0.59,6.2,20.3,63.9,1.56,0.62,214.0,28.6,556.0,292.0
3894,5.83,134.5,219.0,0.82,34.2,50.5,80.0,2.55,6.9,114.0,51.8,224.0,392.0
6226,21.94,93.0,179.0,0.54,21.83,37.0,76.0,1.76,3.77,339.0,38.0,1022.0,355.0
6409,10.02,121.18,209.72,0.23,25.84,46.99,78.1,0.86,3.68,436.48,44.1,896.63,408.89
4058,13.1,124.0,226.0,0.98,31.4,46.2,95.0,2.42,4.86,333.0,47.4,510.0,453.0
3238,14.55,21.33,23.6,0.35,7.64,6.33,6.2,1.16,1.9,90.0,4.1,60.0,31.3
3944,19.8,94.7,153.0,0.57,27.6,35.0,44.1,1.39,3.34,148.0,31.0,179.0,269.0
1900,26.4,61.1,124.3,0.2,13.2,24.3,51.6,0.92,1.99,141.0,27.2,115.0,302.0
4771,0.94,304.0,650.0,0.05,38.8,128.9,222.5,1.02,4.28,57.04,150.1,275.34,1459.0
2927,40.0,164.0,209.0,4.0,47.0,56.0,66.0,6.0,13.0,138.0,52.0,82.0,520.0
5077,7.8,32.58,61.8,0.33,6.26,12.74,33.0,0.49,2.77,22.9,16.28,64.9,163.7
1495,15.3,86.4,159.8,0.45,17.2,32.3,63.2,1.14,2.46,99.0,33.8,132.0,375.0
5313,5.13,9.58,21.1,0.23,2.18,4.47,17.19,0.11,0.33,47.35,6.31,588.81,68.61
308,26.67,164.64,325.74,2.21,27.86,68.13,245.59,1.76,3.99,86.85,88.13,186.98,1124.47
5482,65.18,82.29,142.07,11.67,25.61,30.98,55.28,95.48,18.52,129.88,34.525000000000006,300.59,328.65
4999,24.9,93.0,167.0,1.57,17.2,31.9,103.7,1.5,9.3,169.0,48.7,566.0,457.0
4252,26.5,89.0,131.0,0.42,26.7,31.0,44.4,2.34,5.11,444.0,25.3,546.0,212.0
5771,127.0,361.0,587.0,16.5,91.4,140.0,201.0,103.0,34.7,1413.2,127.0,2716.86,1008.0
4683,33.0,87.5,162.7,0.67,17.7,33.5,61.4,6.4,4.16,160.55,37.1,336.45,374.0
4165,9.05,89.2,179.0,0.19,16.0,37.4,80.4,1.0,3.23,248.0,39.7,682.0,385.0
6375,1.15,27.77,13.27,0.78,18.18,5.75,2.01,0.83,4.1,30.95,2.02,487.13,15.17
990,20.6,107.0,231.0,1.68,18.6,46.0,116.0,0.47,2.63,179.0,54.2,664.0,566.0
6429,3.93,40.84,79.43,0.08,7.82,16.32,34.54,0.35,0.98,212.06,18.01,1020.44,178.67
5141,9.76,62.3,126.7,0.61,10.73,26.5,75.9,0.53,3.39,150.4,33.6,288.0,318.0
2586,0.73,280.0,517.0,0.51,26.3,107.0,215.0,0.79,2.08,20.7,129.0,9691.0,1339.0
1697,0.5,22.5,74.6,0.05,0.9,12.0,34.1,1.56,0.04,4.0,18.1,314.0,210.0
5876,16.3,38.9,87.4,0.88,9.43,16.7,57.1,1.02,1.84,80.0,21.4,142.0,246.0
349,71.1,404.28,621.15,8.5,105.27,145.57,372.17,4.53,18.65,317.77,152.16,352.98,1743.96
7165,51.0,144.0,191.0,1.51,59.0,48.0,63.0,51.0,35.0,145.0,38.0,467.0,332.0
1726,15.9,203.3,269.2,0.41,68.5,65.0,65.2,14.68,18.54,268.0,47.6,98.0,447.0
1699,6.1,96.5,184.8,0.11,18.8,38.9,64.4,0.84,2.53,155.0,37.7,330.0,410.0
815,28.77,74.3,155.0,0.61,14.4,31.0,84.5,0.76,1.91,353.0,36.5,539.0,373.0
2068,26.6,46.2,93.0,0.64,11.1,17.8,44.0,1.02,2.15,335.0,20.9,360.0,256.0
5975,24.0,112.0,210.0,1.3,21.0,42.0,99.0,1.9,3.4,163.0,49.0,177.0,527.0
3921,11.9,89.0,184.0,0.09,12.2,36.9,101.9,0.65,1.9,381.0,41.5,1238.0,457.0
6128,5.26,84.0,152.0,0.74,20.61,34.0,63.0,1.71,3.36,86.0,32.0,268.0,304.0
5525,346.6,1192.0,1745.0,0.19,322.4,387.0,569.0,200.5,118.8,10851.0,349.0,23756.0,3661.0
926,47.66,73.88,147.72,0.62,15.74,30.5,72.84,0.79,2.76,563.14,34.22,920.02,336.65
7170,6.77,109.0,169.0,0.3,27.0,40.0,60.0,1.78,5.09,119.0,35.0,432.0,309.0
695,34.25,78.4,171.0,0.66,15.6,33.4,96.4,1.27,2.68,367.0,40.6,700.0,419.0
6656,23.8,53.6,94.7,0.36,14.1,20.6,40.3,1.22,2.9,247.0,20.9,290.0,204.0
139,19.5,59.2,115.0,0.62,13.1,24.3,53.1,4.66,3.11,49.5,25.5,66.4,259.0
5798,20.5,433.0,624.0,0.79,108.0,157.0,191.0,16.9,23.5,950.65,126.0,1385.57,921.0
773,43.12,107.0,219.0,0.98,21.5,44.6,110.0,5.19,3.83,526.0,50.2,776.0,502.0
1597,43.2,182.3,346.7,2.4,41.0,69.3,127.0,2.82,7.5,303.0,68.5,202.0,756.0
3905,7.28,114.5,215.0,0.77,23.1,43.5,108.5,1.86,4.48,149.0,49.5,402.0,518.0
5342,3.35,7.14,17.07,0.2,1.26,2.87,14.9,0.09,0.34,32.65,4.75,557.66,65.05
2291,14.6,16.2,29.8,5.5,8.9,7.8,21.8,1.56,3.63,79.6,7.5,203.0,104.0
800,23.8,40.3,88.0,0.51,8.42,17.1,52.9,0.71,1.51,291.0,21.1,570.0,223.0
1661,26.7,82.6,147.4,0.53,15.5,29.7,56.4,0.96,2.35,128.0,32.9,124.0,353.0
5214,5.84,75.7,146.8,1.2,15.7,31.2,80.6,1.36,6.66,23.1,37.5,52.9,347.0
1053,49.51,235.16,466.78,203.48,66.74,112.31,192.26,65.18,60.57,126.77,126.74,488.74,1199.58
801,31.17,64.2,142.0,0.57,12.9,28.0,80.4,0.95,1.87,377.0,33.9,492.0,356.0
6831,71.99,98.92,162.47,1.97,29.69,36.41,67.42,2.71,5.54,289.07,35.97,244.57,319.96
5144,14.44,117.9,278.0,0.72,16.93,51.9,162.9,0.79,5.52,123.1,73.7,356.0,679.0
5179,16.7,99.7,137.5,2.79,29.0,34.3,53.6,3.17,14.11,94.0,30.5,154.1,269.7
6282,33.38,94.0,170.0,0.93,23.45,36.0,81.0,2.34,4.91,510.0,38.0,450.0,364.0
2202,82.5,286.3,431.0,1.53,79.3,94.0,127.1,9.48,17.22,252.0,82.0,141.0,897.0
3512,48.8,131.0,285.0,0.82,25.9,57.0,153.0,1.92,4.5,740.0,66.0,849.0,638.0
1389,35.7,139.0,240.0,1.96,34.2,50.1,108.0,3.64,7.04,657.0,52.1,1751.0,701.0
5443,28.1,59.7,93.6,0.79,18.0,21.3,37.8,2.28,4.1,76.1,34.525000000000006,126.0,212.0
6106,24.0,43.0,123.0,0.8,7.0,20.0,104.0,0.3,1.0,160.0,33.0,439.0,461.0
2644,21.1,102.0,177.0,2.43,25.5,38.0,65.1,1.6,3.75,126.0,36.9,145.3,310.0
3421,32.7,259.0,434.0,0.44,58.2,101.6,167.0,2.97,10.52,275.0,92.5,565.0,808.0
2311,8.5,114.0,183.0,1.7,48.0,40.5,49.8,10.1,5.8,36.2,31.3,102.6,259.0
4846,8.65,66.9,107.0,0.16,16.4,23.64,31.6,1.35,2.92,58.58,22.95,98.15,219.2
86,11.7,84.8,108.0,3.1,23.7,27.7,35.7,2.27,4.9,43.9,21.0,48.8,193.0
4196,12.99,63.0,116.0,0.31,13.53,23.8,40.1,1.02,2.25,124.0,23.7,224.0,207.0
6041,1.5,72.0,43.0,0.2,29.0,15.0,5.0,1.3,5.0,165.0,6.0,816.0,43.0
2371,102.67,538.16,600.21,12.42,160.02,161.8,124.09,32.9,44.53,872.69,122.34,509.65,1110.07
227,7.08,105.0,214.0,0.77,20.0,45.6,86.5,1.28,4.55,101.0,48.0,136.0,435.0
6940,24.98,106.13,153.54,4.11,35.48,36.04,51.09,6.05,8.8,51.09,33.0,30.3,306.46
6182,27.4,605.0,1056.0,0.12,126.1,236.0,381.0,4.45,17.53,2639.0,219.0,7228.0,1930.0
778,28.85,54.6,117.0,0.47,11.4,23.2,60.3,0.66,1.85,236.0,26.9,400.0,268.0
5382,3.57,25.94,76.86,0.11,2.64,13.48,48.33,0.29,0.15,52.1,19.8,828.58,209.45
6104,3.3,253.0,500.0,0.3,36.0,99.0,184.0,1.1,3.8,158.0,107.0,539.0,1130.0
5232,8.7,53.2,112.2,0.57,9.59,22.88,66.7,1.78,3.94,20.2,29.6,53.0,298.6
6005,12.0,80.0,192.0,0.3,10.0,34.0,99.0,0.4,1.5,155.0,46.0,264.0,550.0
6390,2.64,37.13,37.55,1.18,16.99,9.47,21.6,1.32,5.16,65.87,9.41,397.13,104.65
3886,5.14,93.2,197.0,0.39,14.7,36.4,88.8,0.45,1.68,99.0,42.4,294.0,417.0
3166,3.1,75.1,219.0,0.71,9.5,37.2,208.0,0.42,1.52,49.0,56.9,181.0,803.0
3954,21.8,164.0,273.0,2.79,31.9,61.0,124.0,2.13,6.1,148.0,52.6,249.0,585.0
1567,11.7,80.7,149.7,0.51,17.3,29.3,58.4,0.73,2.74,114.0,30.0,100.0,349.0
1259,20.03,75.39,155.92,0.18,12.85,23.2,48.23,0.94,2.24,352.46,24.55,263.96,405.76
3095,29.1,86.2,155.0,0.9,16.0,31.5,65.8,1.18,1.42,253.0,41.0,416.0,348.0
4057,8.66,56.3,118.0,0.42,12.6,25.7,69.9,1.0,2.02,246.0,27.9,498.0,322.0
1277,20.05,175.61,390.08,1.87,39.6,61.59,167.41,3.73,7.41,361.97,71.48,279.02,1202.84
6484,1.3,15.71,9.12,0.04,13.0,3.47,1.54,0.67,3.52,91.1,1.24,516.51,8.46
4299,20.07,94.0,123.0,0.59,34.9,30.0,37.4,4.45,7.91,371.0,22.6,498.0,179.0
728,54.93,50.3,109.0,0.8,10.9,21.2,60.0,16.03,3.73,222.0,25.8,436.0,262.0
4670,9.22,50.5,88.5,0.3,11.5,18.88,30.39,0.89,2.37,45.65,19.52,99.15,192.2
1893,17.6,86.3,158.3,1.05,20.3,32.1,62.9,1.7,4.58,130.0,32.8,98.0,358.0
3761,15.9,117.4,222.0,0.91,25.9,45.7,88.8,1.31,2.74,92.0,45.9,150.0,464.0
6149,49.9,610.0,908.0,0.05,133.6,206.0,405.0,32.94,44.35,1978.0,211.0,9366.0,2092.0
4443,19.3,122.9,232.53,0.89,28.39,49.76,93.62,3.0,5.25,346.84,49.13,539.16,459.78
147,5.44,92.3,133.0,0.27,27.6,32.4,42.8,4.11,5.57,105.0,26.2,108.0,232.0
2306,28.9,69.0,145.0,1.13,13.8,26.8,64.9,1.56,2.7,73.2,27.5,148.7,301.0
1844,2.8,115.1,187.2,0.42,26.3,40.7,63.4,1.99,4.63,105.0,39.0,139.0,418.0
2210,31.4,96.6,182.6,0.91,20.1,35.6,65.7,3.56,3.77,222.0,38.3,164.0,457.0
3221,3.06,91.7,105.0,0.49,37.5,26.9,28.3,3.9,8.73,124.0,17.6,520.0,161.0
4836,20.39,235.3,318.9,1.18,66.3,77.4,77.3,8.09,14.99,24.02,64.1,72.02,565.0
1931,34.6,105.8,190.7,0.74,25.9,38.9,69.8,1.88,4.13,315.0,40.0,183.0,428.0
5162,4.02,22.3,30.9,0.91,7.56,7.28,14.22,0.83,4.22,9.19,7.13,25.21,81.3
3552,18.3,156.0,278.0,1.38,37.5,61.2,114.4,3.36,6.64,102.0,55.3,190.0,553.0
6091,93.0,207.0,289.0,5.0,64.0,65.0,88.0,11.0,14.0,485.0,55.0,314.0,555.0
835,23.9,58.9,125.0,0.68,11.91,25.1,66.1,0.62,1.7,351.0,30.4,506.0,315.0
3741,5.55,37.6,69.7,0.89,9.9,13.9,35.4,0.44,0.86,39.0,14.88,95.0,167.8
214,13.8,42.0,65.7,0.65,10.3,13.5,26.9,1.6,2.75,31.5,11.7,56.7,126.0
6579,18.0,95.4,172.0,0.2,22.5,38.4,59.5,1.55,3.56,83.3,36.3,133.0,328.0
2020,8.0,109.6,188.9,0.66,23.1,40.4,62.1,1.67,4.07,122.0,38.8,145.0,419.0
4290,77.6,124.0,151.0,4.29,55.2,37.1,42.7,16.1,17.6,291.0,26.4,137.0,221.0
2272,9.1,256.0,457.0,1.09,75.0,79.6,125.0,11.7,18.8,139.9,77.9,332.0,647.0
5502,8.55,7.14,39.83,0.33,1.0,19.81,95.09,0.78,0.47,1991.49,33.68,1664.42,59.05
6295,9.54,208.0,488.0,0.3,27.2,96.0,224.0,0.45,2.5,588.0,110.0,2042.0,1077.0
177,157.0,94.5,141.0,0.79,39.5,33.2,48.6,102.0,24.6,100.0,28.3,271.0,259.0
4037,19.7,49.3,93.0,0.27,9.4,21.7,45.8,0.29,1.75,124.0,20.5,173.0,217.3
5225,27.8,146.0,373.0,0.61,19.1,66.0,245.0,0.87,5.19,249.0,103.0,730.0,850.0
4518,45.53,137.57,253.82,2.25,28.96,55.06,108.1,1.84,5.34,405.8,55.87,643.44,524.89
4630,27.8,36.1,68.8,0.2,8.16,13.83,29.6,0.82,1.64,64.24,16.73,84.45,176.5
4164,11.37,89.3,171.3,0.34,17.9,34.5,72.0,0.7,3.33,352.0,34.8,635.0,341.0
1856,10.0,111.5,210.6,0.33,22.1,42.8,69.4,1.1,3.01,107.0,44.0,158.0,465.0
3376,46.2,178.0,351.0,2.09,38.6,67.4,172.2,3.62,6.42,341.0,79.5,432.0,742.0
2766,21.2,121.3,249.0,8.0,29.5,45.2,114.4,18.9,12.4,820.0,56.3,1610.0,555.0
4797,12.26,68.0,91.4,1.87,19.0,20.9,35.0,1.34,2.8,16.62,19.9,51.17,193.9
5867,0.29,5.14,17.7,0.09,0.64,2.87,32.6,0.3,0.11,9.69,5.84,90.5,73.7
133,16.9,133.0,183.0,1.98,44.6,42.6,59.7,19.4,12.2,20.1,35.8,23.3,306.0
3710,7.44,87.2,179.2,0.26,12.0,35.1,95.2,0.49,2.3,157.0,44.8,555.0,461.0
6116,5.96,96.0,147.0,0.16,25.35,35.0,48.0,2.56,4.0,142.0,29.0,182.0,247.0
1094,14.7,99.02,216.54,0.59,16.58,30.91,76.39,3.71,3.36,85.36,34.37,101.4,593.72
1723,35.1,38.6,39.2,1.87,19.6,10.4,12.1,5.43,7.53,146.0,7.2,91.0,77.0
2675,22.2,90.6,131.4,4.71,33.6,31.1,48.9,7.95,8.72,395.0,25.7,288.0,237.0
4158,59.7,244.0,403.0,0.3,54.0,103.5,145.1,2.5,6.53,239.0,82.2,484.0,764.0
4611,23.64,13.52,9.62,1.15,10.22,3.06,2.02,3.09,3.53,27.79,1.56,31.59,10.99
1260,13.8,97.15,197.83,0.4,17.68,29.82,59.17,1.52,2.98,139.23,31.2,108.18,510.01
1356,21.0,109.0,151.0,0.65,28.9,36.8,55.5,1.91,5.41,163.0,31.4,288.0,270.0
4496,36.22,167.95,343.51,2.4,28.69,71.19,145.3,5.0,5.94,380.68,76.2,1269.26,722.98
4513,36.03,126.86,192.85,3.78,40.25,44.63,72.84,4.33,8.08,349.84,39.81,386.89,367.97
