,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb,Ce_log,Dy_log,Er_log,Eu_log,Gd_log,Ho_log,Lu_log,Nd_log,Sm_log,Th_log,Tm_log,U_log,Yb_log,LREE,HREE,LREE_HREE_ratio,Eu_anomaly,Nd_Yb_ratio,Th_U_ratio,Gd_Yb_ratio,sum_REE,mean_REE,std_REE,max_REE,min_REE,range_REE,x_3d,y_3d,z_3d,dist_to_center
257,5.742251223,528.4552846,1250.0,7.104795737,149.2462312,796.7032967,2483.739837,7.811816193,33.78378378,5724.137931,2028.340081,43625.0,3347.826087,1.9083938785026926,6.271848713128001,7.1316985104669115,2.0924559527725903,5.012275489573266,6.68173671966522,7.8179232396898355,2.1760935700071626,3.549151294843122,8.652621920883307,7.615465935933587,10.683408581878112,8.116365141616004,54.442646933000006,10435.0645863,0.00521727934480247,0.10005660560378954,0.0023333996413376417,0.13121233079355388,0.04458004307181921,59987.891395433,4614.453184264077,11378.407998504046,43625.0,5.742251223,43619.257748777,-0.1779098349264726,0.8166529470673731,0.5490228179981317,84.31888944462291
267,1.876019576,1178.861789,3100.0,4.973357016,232.6633166,2032.967033,6544.715447,2.625820569,30.27027027,3620.689655,4048.582996,56625.0,5285.714286,1.0564072465115737,7.073152582633593,8.03947991910045,1.787309083602958,5.4538812613164875,7.617743368512553,8.786565984363769,1.2880806265522737,3.442667814540809,8.194695951448203,8.306369190848816,10.944223522673548,8.572952213920264,39.745467431,22190.841551,0.0017910752657966614,0.059262167252648525,0.0004967768642845677,0.0639415391600187,0.04401738421091469,82708.93999003101,6362.2261530793085,14664.551427172293,56625.0,1.876019576,56623.123980424,-0.1779098349264726,0.8166529470673731,0.5490228179981317,84.31888944462291
5296,11.3050571,1246.341463,2912.5,26.9982238,368.4422111,1985.347985,5768.292683,15.57986871,91.48648649,755.1724138,4060.728745,17212.5,5835.403727,2.510010324222338,7.1287697357823125,7.977110386583129,3.3321410724487883,5.911994330592606,7.594053048289289,8.660304766719326,2.8081892310991985,4.527062541845904,6.628269410759683,8.309363961230082,9.753449238662325,8.671870085968239,145.3696361,21808.614603,0.0066656978785501215,0.14705237010879185,0.0026698870268809616,0.04387348809040677,0.06313911226606393,40290.098864,3099.238374153846,4556.561836397551,17212.5,11.3050571,17201.1949429,-0.42113562211450223,0.6122981458571126,0.6691306063588582,106.78354094902475
3673,9.592169657,329.6747967,886.875,3.197158082,62.31155779,549.4505495,3101.626016,1.334792123,14.45945946,7448.275862,1388.663968,80125.0,2397.515528,2.360115016532386,5.801135405108868,6.788830967317974,1.434407649117467,4.148067900002806,6.310737123790053,8.04000413382037,0.8479228606052993,2.7382210787705383,8.915872106917861,7.236817247258295,11.29135567464431,7.782605294967441,28.583579322,8653.805858200001,0.003303006768012057,0.10651328441659526,0.0005567397194531373,0.09295820108464328,0.02599005388548622,96317.97685731201,7409.075142870154,21086.56733727114,80125.0,1.334792123,80123.665207877,-0.4096309488165799,-0.7117949742576616,0.5705702414191993,137.9034429508438
1202,47.1451876,351.6260163,943.125,6.21669627,93.46733668,575.0915751,2243.902439,3.610503282,19.66216216,9379.310345,1311.740891,34125.0,2155.279503,3.874221187247123,5.865408051416554,6.850258572633612,1.9763972678504975,4.548254131153297,6.356266632607799,7.716417342216481,1.5283370228501836,3.028304112620249,9.146368127273842,7.179872513625107,10.43781483608721,7.67613956323679,76.63454931199999,7580.7654244000005,0.010109078043126015,0.14501538459317576,0.0016751902828840708,0.27485158519341096,0.043366689334971745,51255.177655392,3942.705973491692,9043.311329913216,34125.0,3.610503282,34121.389496718,-0.421060040966232,0.6184094994604133,0.6635345754959843,106.48572872326429
5149,202.1207178,1845.528455,4968.75,20.07104796,496.4824121,2930.40293,11829.26829,75.71115974,142.5675676,270655.1724,6680.161943,1531250.0,11142.85714,5.313800471261782,7.521062644409462,8.51112481601463,3.0478999636461706,6.209560203410917,7.9832364031151135,9.378416635498029,4.340047196355162,4.966805778737949,12.508604557802872,8.807047194967138,14.241595606336185,9.318643695923058,440.4704931,39396.968758,0.011180314297641925,0.07544105351429026,0.00679459125985038,0.17675439830192538,0.04455611391383627,1842239.0940632,141710.69954332308,407361.25613887096,1531250.0,20.07104796,1531229.92895204,-0.3545383031794766,0.8283974830558761,0.4336590845875443,95.61502097185273
1511,14.84502447,169.5121951,580.0,10.12433393,40.70351759,304.029304,2280.487805,1.356673961,9.189189189,3793.103448,919.0283401,16625.0,1795.031056,2.7628555374774444,5.1388068196789405,6.364750756851911,2.409134954799262,3.730585479923359,5.720407850680675,7.732583055185519,0.8572512864265293,2.3213272747852187,8.241203416333049,6.82440447402516,9.718723014091033,7.49333454047211,35.51522155,6048.0887002,0.005872139663387118,0.5234942221655653,0.0007557941439004306,0.22815659836221613,0.022675662034520438,26542.41088734,2041.7239144107693,4352.832782842682,16625.0,1.356673961,16623.643326039,-0.4058125294191762,0.6650886448236734,0.626875813453526,103.48696245109998
2353,5.350734095,143.902439,512.5,5.328596803,29.14572864,261.9047619,1560.97561,0.853391685,4.324324324,1206.896552,680.1619433,34625.0,1130.434783,1.8485704117346091,4.976060681483112,6.241250029368613,1.8450785374911247,3.4060432428219163,5.571791844542509,7.353706715681051,0.6170173038109783,1.6722858160328504,7.09663573906622,6.523800080081694,10.452360123939021,7.031241825763341,15.857046907,4289.8795371999995,0.0036963851235910215,0.4746421147621398,0.0007549234127247096,0.03485621810729657,0.025782759919036603,40166.77886474699,3089.7522203651533,9117.910785581975,34625.0,0.853391685,34624.146608315,-0.3033500096007347,-0.6502398739832782,0.6965392149458957,133.3258121146071
2448,5.448613377,259.3495935,654.375,4.262877442,79.39698492,419.4139194,1560.97561,1.291028446,13.10810811,2586.206897,862.3481781,84875.0,1198.757764,1.8638651273860243,5.562025318247981,6.4852075908926965,1.6606779193819006,4.386976674486716,6.041239748350013,7.353706715681051,0.8290008198063227,2.6467496753725137,7.858334154635616,6.760818060588071,11.34894664682399,7.089874952065613,24.110627375,4955.2200649999995,0.004865702643649248,0.1321389446941605,0.001076971915172537,0.030470773454721996,0.06623271793363524,92519.934574295,7116.918044176538,22459.00968915171,84875.0,1.291028446,84873.708971554,-0.30323651671373847,-0.6502928086438248,0.6965392149458957,133.3158370462061
1024,83.06688418,1440.97561,4623.0,81.34991119,407.638191,2186.080586,11963.41463,50.50328228,109.6621622,22248.96552,5387.044534,66166.25,13798.4472,4.431612722250322,7.273769403693529,8.439015410352214,4.410977378177409,6.012830145954971,7.690322867734532,9.389692075618726,3.9416455392310246,4.70648197640794,10.010095737930264,8.591937802900699,11.099940906523317,9.53238381237194,324.58223985,39398.96256,0.00823834483833073,0.38476118005994275,0.003660069973405408,0.33625852333574513,0.029542323499303434,128546.39851084999,9888.184500834615,17525.50017973774,66166.25,50.50328228,66115.74671772,0.001826098388227299,0.8718964803179425,0.48968683152996895,72.100690363996
2248,1.027732463,1000.0,2875.0,9.058614565,112.5628141,1695.970696,7804.878049,0.875273523,15.33783784,600.0,4574.898785,1039625.0,7546.583851,0.7069181554288843,6.90875477931522,7.964155718840937,2.30842943799089,4.732356112030385,7.436599996964919,8.962632324892416,0.6287545277164105,2.7934837575429636,6.398594934535208,8.428558414152425,13.854371591055822,8.928982771290729,26.299458391,25497.331381,0.0010314592534011724,0.2180129237233869,0.00011598274665271684,0.0005771311771065749,0.014915730919781475,1065861.193653491,81989.32258873008,276458.678935364,1039625.0,0.875273523,1039624.124726477,0.026354807809441737,0.8879859523808165,0.4591147704873605,70.70608707338693
6140,2.854812398,163.9430894,295.9375,8.170515098,81.10552764,224.9084249,809.3495935,3.06345733,28.58108108,1658.965517,423.0769231,57611.25,655.7763975,1.3493223412396935,5.105600501677232,5.69352167894714,2.21599345677366,4.408005342328364,5.42012971759924,6.697465751468907,1.4020341703561856,3.387135004282147,7.414552108243263,6.049914861182564,10.961490497683267,6.487343621895686,42.669865906,2572.9919284,0.016583754273939856,0.1697011884508526,0.00467149677391142,0.028795860478139326,0.12367863165786075,61966.982838945994,4766.69098761123,15261.48353880805,57611.25,2.854812398,57608.395187602,-0.45880735074800916,0.5339780399514632,0.7101853756232854,113.17547956215445
5229,25.44861338,325.203252,1006.25,5.861456483,77.38693467,567.7655678,2926.829268,7.002188184,21.62162162,18758.62069,1457.489879,278250.0,2559.006211,3.275203732733515,5.7875206594811806,6.914979124071457,1.9259197345082115,4.361657263851425,6.343468341846599,7.982016563271812,2.07971502727924,3.118906157773566,9.83946200327265,7.285156849962479,12.53627886302172,7.84776496364254,59.933879667,8842.5441778,0.0067778999409119686,0.14329386314430714,0.002736291983647596,0.06741642655860766,0.03024101086863638,305988.48568213696,23537.57582170284,73689.26867294143,278250.0,5.861456483,278244.138543517,-0.3545383031794766,0.8283974830558761,0.4336590845875443,95.61502097185273
